# code: ja
# key, value

# menu bar
file, ファイル
new, 新規
open, 開く
save, 保存
save_as, 別名で保存
export, 出力
exit, 終了
edit, 編集
undo, 元に戻す
redo, やり直す
select_all, 全て選択
settings, 設定
window, ウィンドウ
vsync, VSync（垂直同期）
show_performance, パフォーマンス情報を表示
debug, デバッグ
create_auto_save, オートセーブを実行
about, 概要

# dialogs
unsaved_changes, 最後の保存から譜面が変更されています！
ask_save, 譜面を保存しますか？
warn_unsaved, 保存されていない変更は失われます。
save_changes, 保存する
discard_changes, 保存しない
cancel, キャンセル
general, 一般
key_config, キーコンフィグ
auto_save, オートセーブ
auto_save_enable, オートセーブ
auto_save_interval, オートセーブの間隔（分）
auto_save_count, オートセーブの最大保存数
accent_color, アクセント色
accent_color_help, 適用するアクセント色を選択して下さい。一番左の色は下の設定からカスタマイズできます。
select_accent_color, カスタム色
display_mode, 表示
custom_color, カスタム色
timeline, タイムライン
lane_width, レーンの幅
notes_height, ノーツの高さ
use_smooth_scroll, スムーズスクロール
smooth_scroll_time, スムーズスクロールの時間
background_brightnes, 背景の明るさ
lanes_opacity, レーンの不透明度
video, 画面
vsync_enable, VSync（垂直同期）

# score editor
toolbox, ツールボックス
controls, 操作
chart_properties, 譜面プロパティ
notes_timeline, タイムライン
select, 選択
tap, タップ
hold, スライド
hold_step, スライド中継点
flick, フリック
critical, クリティカル
bpm, BPM
time_signature, 拍子
none, 無し
page, ページ
follow_cursor, 追従
up, 通常
left, 左
right, 右
visible, 可視
invisible, 不可視
ignored, 無視
linear, 直線
ease_in, 加速
ease_out, 減速
delete, 削除
copy, コピー
paste, ペースト
flip_paste, 反転ペースト
flip, 反転
note_width, ノーツ幅
shrink_down, 縮める（最初に合わせる）
shrink_up, 縮める（最後に合わせる）
step_type, 中継点の種類
ease_type, 曲線の種類
flick_type, フリックの方向
metadata, 情報
title, タイトル
designer, 譜面作者
artist, アーティスト
jacket, ジャケット
audio, 音源
music_file, 音源ファイル
music_offset, オフセット
volume_master, 全体音量
volume_bgm, BGM音量
volume_se, SE音量
statistics, 統計
taps, タップ
flicks, フリック
holds, スライド
steps, スライド中継点
total, 合計
combo, コンボ
goto_measure, 小節に移動
division, 小節の分割
division_suffix, 分音符
custom, カスタム：
custom_division, カスタム分割
scroll_mode, スクロール方式
zoom, ズーム
show_step_outlines, 中継点に枠線を表示
edit_bpm, 編集
tick, 拍子
remove, 削除
edit_time_signature, 拍子を編集
measure, 小節

# preset manager
presets, プリセット
no_presets, プリセットは登録されていません。
name, 名前
description, 説明
create_preset, プリセットを登録
search, 検索

# commands
action, コマンド
keys, キー
add, 追加
cmd_key_listen, 入力待ち中
reset, 新規
toggle_playback_play_pause, 再生/一時停止
toggle_playback_play_stop, 再生/停止
cancel_paste, ペーストをキャンセル
stop, 停止
prev_tick, 元の拍子
next_tick, 次の拍子
timeline_select, タイムライン「選択」
timeline_tap, タイムライン「タップ」
timeline_hold, タイムライン「スライド」
timeline_hold_mid, タイムライン「スライド中継点」
timeline_flick, タイムライン「フリック」
timeline_make_critical, タイムライン「クリティカル」
timeline_bpm, タイムライン「BPM」
timeline_time_signature, タイムライン「拍子」
