# code: vi
# key, value

language_name, Tiếng Việt

# menu bar
file,File
new,Mới
open,Mở
open_recent,Mở tệp gần đây
clear,Xóa
save,Lưu
save_as,Lưu như
export_sus,Xuất SUS
export_usc,Xuất USC
exit,Thoát
edit,Sửa
undo,Hoàn tác
redo,Làm lại
select_all,Chọn tất cả
view,Xem
settings,Cài đặt
window,Cửa sổ
vsync,VSync
show_fps,Hiện FPS
debug,Debug
create_auto_save,Tạo tự động sao lưu
help,Trợ giúp
about,About

# dialogs
file_not_found,File không được tìm thấy
file_not_found_msg1,File
file_not_found_msg2,không được tìm thấy
remove_recent_file_not_found,Bạn có muốn xóa khỏi danh sách file gần đây không?
yes,Có
no,Không
unsaved_changes,Thay đổi chưa được lưu
ask_save,Bạn có muốn thay đổi gần đây không?
warn_unsaved,Bất kì thay đổi chưa lưu sẽ bị mất.
save_changes,Lưu thay đổi
discard_changes,Hủy bỏ thay đổi
update_available,Phiên bản mới đang có sẵn!
update_available_description,%s đang có sẵn. Bạn có muốn mở ở trình duyệt không?
score_file,Score file
error,Lỗi
error_load_score_file,Một lỗi đã xuất hiện khi đang đọc score file
error_load_music_file,Không thể mở file nhạc
cancel,Hủy
general,Chung
key_config,Key Config
language,Ngôn ngữ
auto,Tự động
auto_save,Tự động lưu
auto_save_enable,Tự động lưu được bật
auto_save_interval,Tự động lưu sau (phút)
auto_save_count,Số lần lưu tối đa
accent_color,Màu chủ đạo
accent_color_help,Chọn một màu chủ đạo để áp dụng. Ô đầu tiên có thể chỉnh sửa từ bảng màu phía dưới
select_accent_color,Chọn một màu chủ đạo.
display_mode,Chế độ hiển thị
theme,Chủ đề
base_theme,Cơ bản
theme_light,Sáng
theme_dark,Tối
custom_color,Màu tự chọn
timeline,Timeline
match_notes_size_to_timeline,Kết hợp kích thước note với độ rộng của timeline
lane_width,Độ rộng lane
notes_height,Độ cao của note
scrolling,Cuộn
scroll_speed_normal,Tốc độ cuộn
scroll_speed_shift,Tốc độ cuộn (Shift)
