# code: zh-tw
# key, value

# menu bar
file, 檔案
new, 建立新檔案
open, 開啟舊檔
open_recent, 載入上次使用的專案
clear, 清空
save, 儲存
save_as, 另存新檔
export, 匯出
exit, 結束
edit, 編輯
undo, 復原
redo, 重做
select_all, 全選
view, 顯示
show_step_outlines, 在中點顯示邊界
hide_step_outlines_in_playback, 播放時隱藏外框
draw_waveform, 顯示聲音波型
stop_at_end, 播放完成後停止
import_preset, 匯入預設
reload_presets, 重新載入預設
open_presets_folder, 開啟預設資料夾
settings, 設定
window, 視窗
vsync, 垂直同步
show_fps, 顯示幀率
fullscreen, 全螢幕
debug, 開發模式
create_auto_save, 執行自動儲存
help, 說明
about, 關於

# dialogs
file_not_found, 檔案找不到
file_not_found_msg1, 檔案
file_not_found_msg2, 找不到
remove_recent_file_not_found, 您希望將此檔案從最近使用的檔案清單中移除嗎？
yes, 是的
no, 不了，謝謝
unsaved_changes, 自上次存檔後已經編輯過了！
ask_save, 是否要儲存譜面？
warn_unsaved, 任何未儲存的變更都將遺失。
save_changes, 儲存變更
discard_changes, 放棄變更
score_file, 譜面文件
export_successful, 已成功匯出
unknown_file_format, 未知的檔案類型
open_as_file_format, 以何種格式開啟？
error, 錯誤
error_reason, 錯誤原因
error_open_file_msg1, 檔案
error_open_file_msg2, 無法開啟
error_load_score_file, 載入音訊檔案時發生錯誤
error_save_score_file, 儲存音訊檔案時發生錯誤
error_load_music_file, 音訊檔案載入失敗
cancel, 取消
general, 一般
key_config, 重要配置
language, 語言
auto, 自動
auto_save, 自動儲存
auto_save_enable, 啟用自動儲存
auto_save_interval, 自動儲存間隔（分鐘）
auto_save_count, 最大自動儲存數量
accent_color, 強調色彩
accent_color_help, 選擇您想要套用的強調色。最左邊的顏色可以在下面的設定中進行自訂。
select_accent_color, 自訂顏色
display_mode, 顯示
theme, 主題
base_theme, 基本主題
theme_light, 淺色模式
theme_dark, 深色模式
custom_color, 自訂顏色
timeline, 時間軸
preview, 預覽
match_timeline_size_to_window, 將時間軸調整為螢幕大小
match_notes_size_to_timeline, 將時間軸調整為音符與軌道大小
lane_width, 軌道寬度
notes_height, 音符高度
scrolling, 捲動
scroll_speed_normal, 捲動速度
scroll_speed_shift, 捲動速度
use_smooth_scroll, 平滑捲動
smooth_scroll_time, 平滑捲動時間
return_to_last_tick, 回到上一個拍點
cursor_auto_scroll, 自動捲動游標
cursor_auto_scroll_amount, 游標自動捲動量
background, 背景
background_image, 背景圖
draw_background, 繪製背景圖片
background_brightnes, 背景亮度
lanes_opacity, 背景不透明度
video, 畫面
vsync_enable, 啟用垂直同步
